iter	RMSE
173	275.9679908
174	275.3806441
175	275.0653048
176	274.7018958
177	273.8210073
178	273.7564318
179	273.6927611
180	273.1442353
181	272.4919104
182	271.7960115
183	271.421437
184	271.376932
185	270.8930037
186	270.8410016
187	270.7927923
188	270.752467
189	269.8710765
190	269.8243434
191	269.2529227
192	268.5263484
193	268.4911485
194	267.9714151
195	267.9294311
196	267.5600533
197	267.5233957
198	267.075863
199	267.046611
200	267.009922
201	266.4184788
202	265.8462872
203	265.2946008
204	264.734168
205	264.1336322
206	263.8817405
207	263.6553579
208	263.1649374
209	262.7210432
210	262.3061871
211	261.8429187
212	261.5707991
213	261.3759349
214	261.2686663
215	260.9042049
216	260.4446917
217	259.9598052
218	259.6393363
219	259.2386224
220	258.6657503
221	258.1652066
222	258.0776284
223	257.723748
224	257.2770211
225	256.9108006
226	256.3527304
227	256.0252287
228	255.5506419
229	255.0786318
230	254.7509081
231	254.3685086
232	254.0202432
233	253.7291246
234	253.2415282
235	252.8710412
236	252.5591769
237	252.2195681
238	251.9421993
239	251.564985
240	250.9619328
241	250.3782002
242	250.1805369
243	249.6842791
244	249.4536748
245	249.0886579
246	248.6975265
247	248.3139883
248	247.9740666
249	247.6552405
250	247.1015288
251	246.8531799
252	246.5873478
253	246.3664113
254	246.2159181
255	245.9480512
256	245.744998
257	245.4201133
258	245.1051459
259	244.9658199
260	244.4501281
261	244.1513275
262	243.7421422
263	243.5749267
264	243.3640617
265	243.2025863
266	242.9839005
267	242.3112871
268	242.0973127
269	241.8355741
270	241.5905904
271	241.3971694
272	241.1929855
273	241.0009132
274	240.6223933
275	240.4587296
276	240.3280312
277	240.1435797
278	239.7794961
279	239.5708908
280	239.4071044
281	239.0461751
282	238.9598421
283	238.7894138
284	238.4908937
285	238.4001281
286	238.1067996
287	237.9704558
288	237.8621153
289	237.6684424
290	237.5221539
291	237.1051255
292	236.5204939
293	236.2575962
294	236.1363328
295	235.8552362
296	235.698937
297	235.4210756
298	235.2701745
299	235.0323438
300	234.8228744
301	234.6182411
302	234.399414
303	234.3310485
304	234.105494
305	233.7414161
306	233.6606752
307	233.4827633
308	233.394178
309	232.6884371
310	232.1203973
311	231.7517893
312	231.6347882
313	231.4994068
314	231.2588388
315	231.0371808
316	230.8855924
317	230.774013
318	230.6310907
319	230.4209516
320	230.2401061
321	230.1654904
322	230.0346461
323	229.9081326
324	229.6956992
325	229.6141804
326	229.4787626
327	229.3623425
328	229.1133872
329	228.8982915
330	228.7900223
331	228.5039594
332	228.3809099
333	228.1141766
334	227.8071424
335	227.6193206
336	227.4714457
337	227.2312477
338	227.2012902
339	227.151368
340	226.9955282
341	226.8770554
342	226.600726
343	226.3637682
344	226.0055999
345	225.8797043
346	225.558819
347	225.4045605
348	225.1897459
349	224.7159244
350	224.4177595
351	224.3288256
352	224.0372025
353	223.7915743
354	223.7086361
355	223.6727874
356	223.4032974
357	223.0957592
358	222.9534622
359	222.5789327
360	222.3149001
361	222.0615805
362	221.9366198
363	221.8390215
364	221.4820231
365	221.2070925
366	221.1730244
367	221.0641509
368	220.8741701
369	220.2776676
370	220.1076516
371	219.8625809
372	219.7852837
373	219.5618153
374	219.2204678
375	219.1059311
376	218.9564072
377	218.7422146
378	218.5319828
379	218.4014534
380	218.2002434
381	218.0182749
382	217.8257235
383	217.7471817
384	217.4886047
385	217.4566265
386	217.2712587
387	216.6876928
388	216.1206425
389	215.9112718
390	215.7054619
391	215.5467625
392	215.3976613
393	215.2517151
394	215.0737481
395	214.9197352
396	214.874878
397	214.7285968
398	214.556167
399	214.4033219
400	214.2624781
401	214.1135397
402	213.9468013
403	213.7913893
404	213.7332992
405	213.1880565
406	213.1564671
407	213.0057966
408	212.8922633
409	212.5646536
410	212.4181218
411	212.3686906
412	212.3381248
413	212.1618957
414	212.0480055
415	211.6788129
416	211.5376705
417	211.3950731
418	211.3338469
419	211.2765802
420	211.2363344
421	211.0992246
422	210.9667817
423	210.8069555
424	210.716411
425	210.5917538
426	210.5073101
427	209.9579891
428	209.7899093
429	209.6684383
430	209.5510642
431	209.3512082
432	209.2374697
433	209.1648198
434	209.1366921
435	209.079309
436	208.9020297
437	208.7944134
438	208.5985074
439	208.0784943
440	208.0511892
441	208.0060177
442	207.8961552
443	207.7640994
444	207.7154816
445	207.5991874
446	207.3640304
447	206.8619973
448	206.7517479
449	206.697981
450	206.6386827
451	206.5478884
452	206.1719034
453	206.1411224
454	206.0373897
455	205.9480743
456	205.8468169
457	205.6682123
458	205.1873856
459	205.0895126
460	204.9360189
461	204.4683238
462	204.3272735
463	204.23199
464	204.1388658
465	204.0186639
466	203.9337304
467	203.8844948
468	203.8312738
469	203.7377414
470	203.3777526
471	203.2309788
472	203.1086283
473	202.9891733
474	202.4555633
475	202.3358884
476	202.2562798
477	202.1885078
478	202.1622864
479	202.1175996
480	201.9881991
481	201.8377041
482	201.6485772
483	201.4814504
484	201.3560607
485	201.1710771
486	200.9963363
487	200.8886054
488	200.6683074
489	200.6428591
490	200.5895084
491	200.5515785
492	200.4717831
493	200.3846695
494	200.2537153
495	200.105129
496	199.9930284
497	199.9067836
498	199.7710205
499	199.59935
500	199.3620574
501	199.3067183
502	199.2241184
503	199.1872768
504	198.9263056
505	198.8907429
506	198.8068351
507	198.7257242
508	198.6472307
509	198.4699707
510	198.3669445
511	198.2379301
512	197.8154168
513	197.6540101
514	197.5417908
515	197.4509265
516	197.3201492
517	197.2872636
518	197.1899659
519	197.0870524
520	197.0149956
521	196.9257886
522	196.827536
523	196.701794
524	196.6258011
525	196.5637359
526	196.4943049
527	196.3747413
528	195.9631781
529	195.8367009
530	195.7797654
531	195.7185209
532	195.6914426
533	195.5742257
534	195.4587067
535	195.3858474
536	195.1997213
537	195.0881655
538	195.0214161
539	194.9140451
540	194.8447714
541	194.7667526
542	194.7013702
543	194.54743
544	194.4482199
545	194.3610984
546	194.2652809
547	194.1969754
548	194.1293294
549	193.8845666
550	193.7978313
551	193.692809
552	193.289366
553	193.1864117
554	193.066032
555	192.9704811
556	192.9021298
557	192.8700143
558	192.837064
559	192.8062917
560	192.7679878
561	192.6689235
562	192.2756728
563	192.138364
564	191.9598266
565	191.9299279
566	191.5500098
567	191.5222291
568	191.3613051
569	191.2799739
570	191.2529959
571	191.1152677
572	191.0536999
573	190.9987063
574	190.6288927
575	190.5280211
576	190.4621883
577	190.3528868
578	190.2496083
579	190.1523057
580	190.0241399
581	189.8930537
582	189.8108473
583	189.6828818
584	189.6168346
585	189.5341354
586	189.5110656
587	189.2629655
588	189.1705551
589	189.1151016
590	189.1004684
591	189.0431854
592	188.666852
593	188.3225999
594	188.2365331
595	188.0903402
596	187.9640346
597	187.7136622
598	187.6284352
599	187.5351477
600	187.3328529
601	187.2767863
602	187.1805207
603	187.098947
604	186.8831125
605	186.7576406
606	186.6826661
607	186.5879902
608	186.4742827
609	186.3907165
610	186.3558616
611	186.267609
612	186.202305
613	186.1628743
614	186.0967353
615	185.892784
616	185.8193163
617	185.7964699
618	185.720145
619	185.4024784
620	185.340655
621	185.2317028
622	185.1765384
623	185.0646232
624	185.015088
625	184.9467675
626	184.9174962
627	184.8466217
628	184.7633764
629	184.6483977
630	184.4927411
631	184.4187908
632	184.3511632
633	184.3200269
634	184.2103827
635	183.8449911
636	183.7777746
637	183.5565393
638	183.5199761
639	183.4169606
640	183.3408508
641	183.2588417
642	183.1592773
643	183.0271201
644	182.7077315
645	182.6703388
646	182.5326867
647	182.222502
648	182.0227488
649	181.8419713
650	181.7641601
651	181.6387708
652	181.6076868
653	181.5364074
654	181.3498686
655	181.3301855
656	181.2329453
657	181.1820882
658	181.0997681
659	181.0263058
660	180.7246145
661	180.6348945
662	180.3399574
663	180.279625
664	180.2537094
665	180.1527876
666	180.0309865
667	179.7528256
668	179.664031
669	179.6025824
670	179.5486085
671	179.3737632
672	179.3502648
673	179.235269
674	179.1419328
675	179.0169702
676	178.9615629
677	178.8950337
678	178.8226817
679	178.544103
680	178.3608047
681	178.2810965
682	178.2206427
683	178.1572782
684	178.0735806
685	177.8276212
686	177.7584729
687	177.4936261
688	177.4063019
689	177.3554424
690	177.1800413
691	176.9924893
692	176.8718841
693	176.7124649
694	176.6596368
695	176.6079856
696	176.4800573
697	176.411544
698	176.3013152
699	176.2094506
700	175.9198588
701	175.7992482
702	175.6860265
703	175.6273785
704	175.3750616
705	175.2580401
706	175.1956208
707	175.1272624
708	175.0384953
709	174.8930626
710	174.8314615
711	174.7231417
712	174.5849794
713	174.4889625
714	174.4405801
715	174.3747857
716	174.3454064
717	174.2780957
718	174.1750002
719	173.9284699
720	173.8462185
721	173.8119066
722	173.7626425
723	173.7059058
724	173.6316756
725	173.5802006
726	173.5431003
727	173.462263
728	173.4157497
729	173.1653271
730	172.9784292
731	172.8739092
732	172.8012073
733	172.717915
734	172.6393399
735	172.5527126
736	172.4854255
737	172.463585
738	172.3647331
739	172.1098997
740	172.0463554
741	171.9373841
742	171.7909846
743	171.7319076
744	171.7195023
745	171.5801543
746	171.5353416
747	171.4857787
748	171.480762
749	171.4022414
750	171.3413147
751	171.2603023
752	171.2035171
753	171.1044511
754	170.972288
755	170.8215428
756	170.7746079
757	170.6297872
758	170.3777905
759	170.2537032
760	170.1317828
761	170.0596993
762	169.999479
763	169.9632554
764	169.9157949
765	169.7731176
766	169.673966
767	169.6428657
768	169.6295011
769	169.5840754
770	169.3386195
771	169.3199299
772	169.225139
773	169.1979928
774	169.1470897
775	169.1057122
776	169.025157
777	168.9090814
778	168.791451
779	168.6757485
780	168.600917
781	168.5873633
782	168.4976355
783	168.427504
784	168.3396283
785	168.2042004
786	168.1931437
787	168.1407751
788	168.0092136
789	167.7925259
790	167.7165706
791	167.6454372
792	167.6099721
793	167.4825432
794	167.4476554
795	167.3736327
796	167.2993317
797	167.065721
798	167.0236058
799	166.9093919
800	166.8355841
801	166.7570939
802	166.7326165
803	166.6991518
804	166.6458537
805	166.6242315
806	166.4658605
807	166.4138919
808	166.3672608
809	166.3277856
810	166.1977063
811	166.0992193
812	165.9752343
813	165.9000429
814	165.7974412
815	165.7179733
816	165.6483972
817	165.6018405
818	165.5253122
819	165.4536693
820	165.4438937
821	165.3832527
822	165.3415518
823	165.3079606
824	165.2217819
825	165.1567319
826	165.0510462
827	164.8803634
828	164.6765593
829	164.5780088
830	164.5510873
831	164.4571899
832	164.4148743
833	164.3738372
834	164.3126641
835	164.2620187
836	164.1485301
837	164.1207976
838	163.9862166
839	163.9339204
840	163.735329
841	163.4950653
842	163.3877841
843	163.3579604
844	163.2427028
845	163.1252489
846	163.042758
847	163.0092402
848	162.9078149
849	162.8898822
850	162.8217033
851	162.7288309
852	162.6246959
853	162.5593778
854	162.5228586
855	162.5051897
856	162.4839418
857	162.2683225
858	162.1705133
859	162.1578963
860	161.9942261
861	161.9657995
862	161.9241307
863	161.7353703
864	161.6975293
865	161.6042259
866	161.5610766
867	161.4793662
868	161.4380434
869	161.4155069
870	161.231889
871	161.2047335
872	161.1646152
873	161.0986802
874	161.012428
875	160.9650044
876	160.9218198
877	160.8774328
878	160.8659144
879	160.7797127
880	160.707784
881	160.6847684
882	160.651365
883	160.5743716
884	160.3952217
885	160.3753569
886	160.3020704
887	160.2651425
888	160.2093261
889	160.1762665
890	160.0024515
891	159.9260328
892	159.757177
893	159.6925383
894	159.6228768
895	159.4588599
896	159.3621853
897	159.298362
898	159.2377144
899	159.1717165
900	159.1098657
901	159.0239343
902	158.9397726
903	158.9156856
904	158.8444175
905	158.8211202
906	158.8130125
907	158.7489057
908	158.6893171
909	158.5948417
910	158.484947
911	158.351972
912	158.3209325
913	158.2948988
914	158.2669601
915	158.2325866
916	158.1293013
917	158.0403155
918	157.9611949
919	157.8006815
920	157.5737544
921	157.5530581
922	157.5331726
923	157.4564496
924	157.4077432
925	157.3857058
926	157.2566307
927	157.1844275
928	157.0978273
929	156.9411488
930	156.8553237
931	156.7451499
932	156.7279439
933	156.6832185
934	156.6143697
935	156.5575033
936	156.4813014
937	156.3476995
938	156.1950977
939	156.1170259
940	156.103638
941	156.0323592
942	155.9783022
943	155.8955953
944	155.8572215
945	155.7087354
946	155.5004244
947	155.4511741
948	155.3716505
949	155.3119208
950	155.2964172
951	155.2388945
952	155.094184
953	155.0699956
954	155.0459023
955	154.9053618
956	154.8163454
957	154.7609353
958	154.6949963
959	154.636751
960	154.4488109
961	154.4248898
962	154.2918093
963	154.2017579
964	154.1937201
965	154.1785849
966	154.1644361
967	154.0866197
968	154.0431298
969	153.9849886
970	153.963414
971	153.9435658
972	153.8155606
973	153.6778444
974	153.5516756
975	153.502646
976	153.4700815
977	153.4384117
978	153.4063935
979	153.3291584
980	153.2896337
981	153.2648822
982	153.1967013
983	153.0306382
984	152.9007432
985	152.8761792
986	152.7564692
987	152.6402852
988	152.5925312
989	152.490615
990	152.4408517
991	152.3790396
992	152.3376362
993	152.2984274
994	152.2560473
995	152.2379635
996	152.1696779
997	152.1330165
998	152.0502099
999	151.9809815
